輸入檔案,偵測結果,,
Ceproin074.jpg,Cerproin: 0.9719,Cerproin,1
Ceproin075.jpg,Cerproin: 0.9679,Cerproin,1
Ceproin076.jpg,NA,Ceproin,#VALUE!
Ceproin077.jpg,Cerproin: 0.9739,Cerproin,1
Ceproin078.jpg,Cerproin: 0.9479,Cerproin,1
Ceproin079.jpg,Cerproin: 0.9769,Cerproin,1
Ceproin080.jpg,Cerproin: 0.9573,Cerproin,1
Ceproin081.jpg,Cerproin: 0.5357,Cerproin,1
Ceproin082.jpg,NA,Ceproin,#VALUE!
Ceproin083.jpg,NA,Ceproin,#VALUE!
Ceproin084.jpg,NA,Ceproin,#VALUE!
Ceproin085.jpg,Cerproin: 0.6540,Cerproin,1
Ceproin086.jpg,NA,Ceproin,#VALUE!
Ceproin087.jpg,NA,Ceproin,#VALUE!
Ceproin088.jpg,Cerproin: 0.9500,Cerproin,1
Ceproin089.jpg,Cerproin: 0.6141,Cerproin,1
Ceproin090.jpg,Cerproin: 0.5900,Cerproin,1
Ceproin091.jpg,Cerproin: 0.6106,Cerproin,1
Ceproin092.jpg,Cerproin: 0.6553,Cerproin,1
Ceproin093.jpg,NA,Ceproin,#VALUE!
Ceproin094.jpg,Propranolol: 0.5526,Cerproin,#VALUE!
Ceproin095.jpg,Propranolol: 0.5333,Cerproin,#VALUE!
Ceproin096.jpg,Cerproin: 0.8050,Cerproin,1
Ceproin097.jpg,NA,Ceproin,#VALUE!
Ceproin098.jpg,Cerproin: 0.5465,Cerproin,1
Ceproin099.jpg,Cerproin: 0.6296,Cerproin,1
Norvasc000.jpg,Norvasc: 0.8642,Norvasc,1
Norvasc001.jpg,NA,Norvasc,#VALUE!
Norvasc002.jpg,Norvasc: 0.6087,Norvasc,1
Norvasc003.jpg,NA,Norvasc,#VALUE!
Norvasc004.jpg,Norvasc: 0.5499,Norvasc,1
Norvasc005.jpg,Norvasc: 0.8458,Norvasc,1
Norvasc006.jpg,Norvasc: 0.6231,Norvasc,1
Norvasc007.jpg,Norvasc: 0.5699,Norvasc,1
Norvasc008.jpg,Norvasc: 0.5163,Norvasc,1
Norvasc009.jpg,Norvasc: 0.7894,Norvasc,1
Norvasc010.jpg,Norvasc: 0.7016,Norvasc,1
Norvasc011.jpg,Norvasc: 0.5603,Norvasc,1
Norvasc012.jpg,Norvasc: 0.9386,Norvasc,1
Norvasc013.jpg,Norvasc: 0.9507,Norvasc,1
Norvasc014.jpg,Norvasc: 0.9210,Norvasc,1
Norvasc015.jpg,Norvasc: 0.9211,Norvasc,1
Norvasc016.jpg,Norvasc: 0.7944,Norvasc,1
Norvasc017.jpg,Norvasc: 0.7223,Norvasc,1
Norvasc018.jpg,Norvasc: 0.8816,Norvasc,1
Norvasc019.jpg,Norvasc: 0.6885,Norvasc,1
Norvasc020.jpg,Norvasc: 0.9371,Norvasc,1
Norvasc021.jpg,Norvasc: 0.5677,Norvasc,1
Norvasc022.jpg,Norvasc: 0.5010,Norvasc,1
Norvasc023.jpg,Norvasc: 0.5844,Norvasc,1
Norvasc024.jpg,NA,Norvasc,#VALUE!
Norvasc025.jpg,NA,Norvasc,#VALUE!
Norvasc026.jpg,Norvasc: 0.8553,Norvasc,1
Norvasc027.jpg,NA,Norvasc,#VALUE!
Norvasc028.jpg,NA,Norvasc,#VALUE!
Norvasc029.jpg,NA,Norvasc,#VALUE!
Norvasc030.jpg,NA,Norvasc,#VALUE!
Norvasc031.jpg,Norvasc: 0.5592,Norvasc,1
Norvasc032.jpg,Norvasc: 0.9289,Norvasc,1
Norvasc033.jpg,Norvasc: 0.7899,Norvasc,1
Norvasc034.jpg,Norvasc: 0.7603,Norvasc,1
Norvasc035.jpg,Norvasc: 0.7532,Norvasc,1
Norvasc036.jpg,Norvasc: 0.8419,Norvasc,1
Norvasc037.jpg,Norvasc: 0.6405,Norvasc,1
Norvasc038.jpg,Norvasc: 0.6259,Norvasc,1
Norvasc039.jpg,Norvasc: 0.8980,Norvasc,1
Norvasc040.jpg,Norvasc: 0.6259,Norvasc,1
Norvasc041.jpg,Norvasc: 0.5678,Norvasc,1
Norvasc042.jpg,Norvasc: 0.5060,Norvasc,1
Norvasc043.jpg,Norvasc: 0.8742,Norvasc,1
Norvasc044.jpg,Norvasc: 0.8483,Norvasc,1
Norvasc045.jpg,Norvasc: 0.6103,Norvasc,1
Norvasc046.jpg,Norvasc: 0.6211,Norvasc,1
Norvasc047.jpg,Norvasc: 0.5554,Norvasc,1
Norvasc048.jpg,NA,Norvasc,#VALUE!
Norvasc049.jpg,Norvasc: 0.5953,Norvasc,1
Norvasc050.jpg,Norvasc: 0.7451,Norvasc,1
Norvasc051.jpg,Norvasc: 0.5431,Norvasc,1
Norvasc052.jpg,Norvasc: 0.7620,Norvasc,1
Norvasc053.jpg,Norvasc: 0.7743,Norvasc,1
Norvasc054.jpg,Norvasc: 0.5155,Norvasc,1
Norvasc055.jpg,Norvasc: 0.5577,Norvasc,1
Norvasc056.jpg,Norvasc: 0.9434,Norvasc,1
Norvasc057.jpg,Norvasc: 0.8087,Norvasc,1
Norvasc058.jpg,Norvasc: 0.6838,Norvasc,1
Norvasc059.jpg,Norvasc: 0.8296,Norvasc,1
Norvasc060.jpg,Norvasc: 0.6839,Norvasc,1
Norvasc061.jpg,Norvasc: 0.6683,Norvasc,1
Norvasc062.jpg,Norvasc: 0.5589,Norvasc,1
Norvasc063.jpg,Norvasc: 0.8531,Norvasc,1
Norvasc064.jpg,Norvasc: 0.9320,Norvasc,1
Norvasc065.jpg,NA,Norvasc,#VALUE!
Norvasc066.jpg,Norvasc: 0.9152,Norvasc,1
Norvasc067.jpg,Norvasc: 0.9320,Norvasc,1
Norvasc068.jpg,Norvasc: 0.7956,Norvasc,1
Norvasc069.jpg,Norvasc: 0.8444,Norvasc,1
Norvasc070.jpg,Norvasc: 0.9474,Norvasc,1
Norvasc071.jpg,Norvasc: 0.9495,Norvasc,1
Norvasc072.jpg,Norvasc: 0.7935,Norvasc,1
Norvasc073.jpg,Norvasc: 0.9306,Norvasc,1
Norvasc074.jpg,Norvasc: 0.9088,Norvasc,1
Norvasc075.jpg,Norvasc: 0.9265,Norvasc,1
Norvasc076.jpg,Norvasc: 0.5448,Norvasc,1
Norvasc077.jpg,Norvasc: 0.9128,Norvasc,1
Norvasc078.jpg,Norvasc: 0.9210,Norvasc,1
Norvasc079.jpg,Norvasc: 0.9592,Norvasc,1
Norvasc080.jpg,Norvasc: 0.9210,Norvasc,1
Norvasc081.jpg,Norvasc: 0.6779,Norvasc,1
Norvasc082.jpg,Norvasc: 0.6042,Norvasc,1
Norvasc083.jpg,Norvasc: 0.8156,Norvasc,1
Norvasc084.jpg,Norvasc: 0.7983,Norvasc,1
Norvasc085.jpg,Norvasc: 0.7157,Norvasc,1
Norvasc086.jpg,Norvasc: 0.7400,Norvasc,1
Norvasc087.jpg,Norvasc: 0.5348,Norvasc,1
Norvasc088.jpg,Norvasc: 0.6334,Norvasc,1
Norvasc089.jpg,Norvasc: 0.6906,Norvasc,1
Norvasc090.jpg,Norvasc: 0.8312,Norvasc,1
Norvasc091.jpg,Norvasc: 0.8230,Norvasc,1
Norvasc092.jpg,Norvasc: 0.9577,Norvasc,1
Norvasc093.jpg,Norvasc: 0.8867,Norvasc,1
Norvasc094.jpg,Norvasc: 0.7306,Norvasc,1
Norvasc095.jpg,Norvasc: 0.7485,Norvasc,1
Norvasc096.jpg,Norvasc: 0.8427,Norvasc,1
Norvasc097.jpg,Norvasc: 0.6745,Norvasc,1
Norvasc098.jpg,NA,Norvasc,#VALUE!
Norvasc099.jpg,Norvasc: 0.5844,Norvasc,1
Propranolol000.jpg,Propranolol: 0.7748,Propranolol,1
Propranolol001.jpg,Propranolol: 0.7775,Propranolol,1
Propranolol002.jpg,Propranolol: 0.7234,Propranolol,1
Propranolol003.jpg,Propranolol: 0.8239,Propranolol,1
Propranolol004.jpg,Propranolol: 0.7043,Propranolol,1
Propranolol005.jpg,Propranolol: 0.8749,Propranolol,1
Propranolol006.jpg,Propranolol: 0.8357,Propranolol,1
Propranolol007.jpg,Propranolol: 0.5231,Propranolol,1
Propranolol008.jpg,Propranolol: 0.6092,Propranolol,1
Propranolol009.jpg,NA,Propranolol,#VALUE!
Propranolol010.jpg,NA,Propranolol,#VALUE!
Propranolol011.jpg,NA,Propranolol,#VALUE!
Propranolol012.jpg,Propranolol: 0.5421,Propranolol,1
Propranolol013.jpg,NA,Propranolol,#VALUE!
Propranolol014.jpg,NA,Propranolol,#VALUE!
Propranolol015.jpg,NA,Propranolol,#VALUE!
Propranolol016.jpg,Propranolol: 0.7373,Propranolol,1
Propranolol017.jpg,Propranolol: 0.7738,Propranolol,1
Propranolol018.jpg,Propranolol: 0.5470,Propranolol,1
Propranolol019.jpg,Propranolol: 0.7010,Propranolol,1
Propranolol020.jpg,Propranolol: 0.6794,Propranolol,1
Propranolol021.jpg,Propranolol: 0.7810,Propranolol,1
Propranolol022.jpg,Propranolol: 0.6146,Propranolol,1
Propranolol023.jpg,Propranolol: 0.6289,Propranolol,1
Propranolol024.jpg,Propranolol: 0.5861,Propranolol,1
Propranolol025.jpg,NA,Propranolol,#VALUE!
Propranolol026.jpg,NA,Propranolol,#VALUE!
Propranolol027.jpg,Propranolol: 0.5252,Propranolol,1
Propranolol028.jpg,NA,Propranolol,#VALUE!
Propranolol029.jpg,NA,Propranolol,#VALUE!
Propranolol030.jpg,NA,Propranolol,#VALUE!
Propranolol031.jpg,NA,Propranolol,#VALUE!
Propranolol032.jpg,NA,Propranolol,#VALUE!
Propranolol033.jpg,NA,Propranolol,#VALUE!
Propranolol034.jpg,NA,Propranolol,#VALUE!
Propranolol035.jpg,Propranolol: 0.6156,Propranolol,1
Propranolol036.jpg,NA,Propranolol,#VALUE!
Propranolol037.jpg,NA,Propranolol,#VALUE!
Propranolol038.jpg,Propranolol: 0.7371,Propranolol,1
Propranolol039.jpg,Propranolol: 0.5555,Propranolol,1
Propranolol040.jpg,NA,Propranolol,#VALUE!
Propranolol041.jpg,Propranolol: 0.7554,Propranolol,1
Propranolol042.jpg,NA,Propranolol,#VALUE!
Propranolol043.jpg,NA,Propranolol,#VALUE!
Propranolol044.jpg,NA,Propranolol,#VALUE!
Propranolol045.jpg,NA,Propranolol,#VALUE!
Propranolol046.jpg,Propranolol: 0.7425,Propranolol,1
Propranolol047.jpg,NA,Propranolol,#VALUE!
Propranolol048.jpg,NA,Propranolol,#VALUE!
Propranolol049.jpg,NA,Propranolol,#VALUE!
Propranolol050.jpg,NA,Propranolol,#VALUE!
Propranolol051.jpg,NA,Propranolol,#VALUE!
Propranolol052.jpg,NA,Propranolol,#VALUE!
Propranolol053.jpg,NA,Propranolol,#VALUE!
Propranolol054.jpg,Propranolol: 0.5534,Propranolol,1
Propranolol055.jpg,NA,Propranolol,#VALUE!
Propranolol056.jpg,NA,Propranolol,#VALUE!
Propranolol057.jpg,Propranolol: 0.6117,Propranolol,1
Propranolol058.jpg,NA,Propranolol,#VALUE!
Propranolol059.jpg,NA,Propranolol,#VALUE!
Propranolol060.jpg,NA,Propranolol,#VALUE!
Propranolol061.jpg,NA,Propranolol,#VALUE!
Propranolol062.jpg,NA,Propranolol,#VALUE!
Propranolol063.jpg,NA,Propranolol,#VALUE!
Propranolol064.jpg,NA,Propranolol,#VALUE!
Propranolol065.jpg,NA,Propranolol,#VALUE!
Propranolol066.jpg,NA,Propranolol,#VALUE!
Propranolol067.jpg,NA,Propranolol,#VALUE!
Propranolol068.jpg,Propranolol: 0.7529,Propranolol,1
Propranolol069.jpg,NA,Propranolol,#VALUE!
Propranolol070.jpg,NA,Propranolol,#VALUE!
Propranolol071.jpg,Propranolol: 0.5868,Propranolol,1
Propranolol072.jpg,NA,Propranolol,#VALUE!
Propranolol073.jpg,NA,Propranolol,#VALUE!
Propranolol074.jpg,NA,Propranolol,#VALUE!
Propranolol075.jpg,NA,Propranolol,#VALUE!
Propranolol076.jpg,NA,Propranolol,#VALUE!
Propranolol077.jpg,Propranolol: 0.7021,Propranolol,1
Propranolol078.jpg,Propranolol: 0.7792,Propranolol,1
Propranolol079.jpg,Propranolol: 0.6212,Propranolol,1
Propranolol080.jpg,Propranolol: 0.7881,Propranolol,1
Propranolol081.jpg,Propranolol: 0.7617,Propranolol,1
Propranolol082.jpg,NA,Propranolol,#VALUE!
Propranolol083.jpg,NA,Propranolol,#VALUE!
Propranolol084.jpg,NA,Propranolol,#VALUE!
Propranolol085.jpg,NA,Propranolol,#VALUE!
Propranolol086.jpg,Propranolol: 0.5950,Propranolol,1
Propranolol087.jpg,Propranolol: 0.5645,Propranolol,1
Propranolol088.jpg,Propranolol: 0.7189,Propranolol,1
Propranolol089.jpg,Propranolol: 0.5645,Propranolol,1
Propranolol090.jpg,Propranolol: 0.6405,Propranolol,1
Propranolol091.jpg,NA,Propranolol,#VALUE!
Propranolol092.jpg,NA,Propranolol,#VALUE!
Propranolol093.jpg,NA,Propranolol,#VALUE!
Propranolol094.jpg,NA,Propranolol,#VALUE!
Propranolol095.jpg,NA,Propranolol,#VALUE!
Propranolol096.jpg,NA,Propranolol,#VALUE!
Propranolol097.jpg,Propranolol: 0.6688,Propranolol,1
Propranolol098.jpg,NA,Propranolol,#VALUE!
Propranolol099.jpg,NA,Propranolol,#VALUE!
Propranolol100.jpg,NA,Propranolol,#VALUE!
Propranolol101.jpg,Propranolol: 0.6773,Propranolol,1
Propranolol102.jpg,Propranolol: 0.7453,Propranolol,1
Propranolol103.jpg,NA,Propranolol,#VALUE!
Propranolol104.jpg,Propranolol: 0.5197,Propranolol,1
Propranolol105.jpg,Propranolol: 0.8471,Propranolol,1
Propranolol106.jpg,Propranolol: 0.7085,Propranolol,1
Propranolol107.jpg,Propranolol: 0.7878,Propranolol,1
Propranolol108.jpg,Propranolol: 0.8739,Propranolol,1
Propranolol109.jpg,Propranolol: 0.9149,Propranolol,1
Propranolol110.jpg,Propranolol: 0.7767,Propranolol,1
Propranolol111.jpg,Propranolol: 0.8982,Propranolol,1
Propranolol112.jpg,NA,Propranolol,#VALUE!
Propranolol113.jpg,NA,Propranolol,#VALUE!
Propranolol114.jpg,Propranolol: 0.8761,Propranolol,1
Propranolol115.jpg,Propranolol: 0.9265,Propranolol,1
Propranolol116.jpg,Propranolol: 0.9004,Propranolol,1
Propranolol117.jpg,Propranolol: 0.9005,Propranolol,1
Propranolol118.jpg,Propranolol: 0.9181,Propranolol,1
Propranolol119.jpg,Propranolol: 0.9064,Propranolol,1
Propranolol120.jpg,Propranolol: 0.9294,Propranolol,1
Propranolol121.jpg,Propranolol: 0.9220,Propranolol,1
Propranolol122.jpg,Propranolol: 0.7458,Propranolol,1
Propranolol123.jpg,Propranolol: 0.6105,Propranolol,1
Propranolol124.jpg,Propranolol: 0.6688,Propranolol,1
Propranolol125.jpg,Propranolol: 0.9299,Propranolol,1
Propranolol126.jpg,Propranolol: 0.7987,Propranolol,1
Propranolol127.jpg,Propranolol: 0.5678,Propranolol,1
Propranolol128.jpg,NA,Propranolol,#VALUE!
Propranolol129.jpg,NA,Propranolol,#VALUE!
Propranolol130.jpg,Propranolol: 0.5083,Propranolol,1
Propranolol131.jpg,Propranolol: 0.7988,Propranolol,1
Propranolol132.jpg,Propranolol: 0.6415,Propranolol,1
Propranolol133.jpg,Propranolol: 0.5895,Propranolol,1
Propranolol134.jpg,Propranolol: 0.7122,Propranolol,1
Propranolol135.jpg,NA,Propranolol,#VALUE!
Propranolol136.jpg,Propranolol: 0.5903,Propranolol,1
Propranolol137.jpg,NA,Propranolol,#VALUE!
Propranolol138.jpg,NA,Propranolol,#VALUE!
Propranolol139.jpg,NA,Propranolol,#VALUE!
Propranolol140.jpg,NA,Propranolol,#VALUE!
Propranolol141.jpg,NA,Propranolol,#VALUE!
Propranolol142.jpg,NA,Propranolol,#VALUE!
Propranolol143.jpg,NA,Propranolol,#VALUE!
Propranolol144.jpg,NA,Propranolol,#VALUE!
Propranolol145.jpg,NA,Propranolol,#VALUE!
Propranolol146.jpg,Propranolol: 0.5733,Propranolol,1
Propranolol147.jpg,NA,Propranolol,#VALUE!
Propranolol148.jpg,NA,Propranolol,#VALUE!
Propranolol149.jpg,NA,Propranolol,#VALUE!
Propranolol150.jpg,NA,Propranolol,#VALUE!
Propranolol151.jpg,NA,Propranolol,#VALUE!
Propranolol152.jpg,NA,Propranolol,#VALUE!
Propranolol153.jpg,Propranolol: 0.5525,Propranolol,1
Propranolol154.jpg,NA,Propranolol,#VALUE!
Propranolol155.jpg,Propranolol: 0.7198,Propranolol,1
Propranolol156.jpg,Propranolol: 0.7497,Propranolol,1
Propranolol157.jpg,Propranolol: 0.6514,Propranolol,1
Propranolol158.jpg,NA,Propranolol,#VALUE!
Propranolol159.jpg,NA,Propranolol,#VALUE!
Propranolol160.jpg,NA,Propranolol,#VALUE!
Propranolol161.jpg,NA,Propranolol,#VALUE!
Propranolol162.jpg,NA,Propranolol,#VALUE!
Propranolol163.jpg,NA,Propranolol,#VALUE!
Propranolol164.jpg,NA,Propranolol,#VALUE!
Propranolol165.jpg,NA,Propranolol,#VALUE!
Propranolol166.jpg,NA,Propranolol,#VALUE!
Propranolol167.jpg,NA,Propranolol,#VALUE!
Propranolol168.jpg,NA,Propranolol,#VALUE!
Propranolol169.jpg,NA,Propranolol,#VALUE!
Propranolol170.jpg,NA,Propranolol,#VALUE!
Propranolol171.jpg,Propranolol: 0.8297,Propranolol,1
Propranolol172.jpg,Propranolol: 0.8640,Propranolol,1
Propranolol173.jpg,Propranolol: 0.5148,Propranolol,1
Propranolol174.jpg,Propranolol: 0.6599,Propranolol,1
Propranolol175.jpg,NA,Propranolol,#VALUE!
Propranolol176.jpg,NA,Propranolol,#VALUE!
Propranolol177.jpg,NA,Propranolol,#VALUE!
Propranolol178.jpg,NA,Propranolol,#VALUE!
Propranolol179.jpg,NA,Propranolol,#VALUE!
Propranolol180.jpg,NA,Propranolol,#VALUE!
Propranolol181.jpg,NA,Propranolol,#VALUE!
Propranolol182.jpg,NA,Propranolol,#VALUE!
Propranolol183.jpg,Propranolol: 0.5450,Propranolol,1
Propranolol184.jpg,NA,Propranolol,#VALUE!
Propranolol185.jpg,NA,Propranolol,#VALUE!
Propranolol186.jpg,NA,Propranolol,#VALUE!
Propranolol187.jpg,NA,Propranolol,#VALUE!
Propranolol188.jpg,NA,Propranolol,#VALUE!
Propranolol189.jpg,NA,Propranolol,#VALUE!
Propranolol190.jpg,Propranolol: 0.6237,Propranolol,1
Propranolol191.jpg,Propranolol: 0.7318,Propranolol,1
Propranolol192.jpg,NA,Propranolol,#VALUE!
Propranolol193.jpg,NA,Propranolol,#VALUE!
Propranolol194.jpg,NA,Propranolol,#VALUE!
Propranolol195.jpg,NA,Propranolol,#VALUE!
Propranolol196.jpg,NA,Propranolol,#VALUE!
Propranolol197.jpg,Propranolol: 0.6167,Propranolol,1
Propranolol198.jpg,Propranolol: 0.6220,Propranolol,1
Propranolol199.jpg,NA,Propranolol,#VALUE!
Propranolol200.jpg,Propranolol: 0.8374,Propranolol,1
Propranolol201.jpg,Propranolol: 0.7109,Propranolol,1
Propranolol202.jpg,Propranolol: 0.5523,Propranolol,1
Propranolol203.jpg,Propranolol: 0.5936,Propranolol,1
Propranolol204.jpg,Propranolol: 0.5722,Propranolol,1
Propranolol205.jpg,Propranolol: 0.5662,Propranolol,1
Propranolol206.jpg,Propranolol: 0.6518,Propranolol,1
Propranolol207.jpg,Propranolol: 0.8286,Propranolol,1
Propranolol208.jpg,Propranolol: 0.7226,Propranolol,1
Propranolol209.jpg,Propranolol: 0.8081,Propranolol,1
Propranolol210.jpg,Propranolol: 0.6541,Propranolol,1
Propranolol211.jpg,NA,Propranolol,#VALUE!
Propranolol212.jpg,Propranolol: 0.7566,Propranolol,1
Propranolol213.jpg,Propranolol: 0.6596,Propranolol,1
Propranolol214.jpg,NA,Propranolol,#VALUE!
Propranolol215.jpg,NA,Propranolol,#VALUE!
Propranolol216.jpg,NA,Propranolol,#VALUE!
Propranolol217.jpg,NA,Propranolol,#VALUE!
Propranolol218.jpg,NA,Propranolol,#VALUE!
Propranolol219.jpg,Propranolol: 0.7037,Propranolol,1
Propranolol220.jpg,NA,Propranolol,#VALUE!
Propranolol221.jpg,NA,Propranolol,#VALUE!
Propranolol222.jpg,NA,Propranolol,#VALUE!
Propranolol223.jpg,NA,Propranolol,#VALUE!
Propranolol224.jpg,NA,Propranolol,#VALUE!
Propranolol225.jpg,NA,Propranolol,#VALUE!
Propranolol226.jpg,NA,Propranolol,#VALUE!
Propranolol227.jpg,NA,Propranolol,#VALUE!
Propranolol228.jpg,Propranolol: 0.8387,Propranolol,1
Propranolol229.jpg,Propranolol: 0.6710,Propranolol,1
Propranolol230.jpg,Propranolol: 0.8593,Propranolol,1
Propranolol231.jpg,Propranolol: 0.8383,Propranolol,1
Sporontone000.jpg,Sporontone: 0.8272,Sporontone,1
Sporontone001.jpg,Sporontone: 0.8347,Sporontone,1
Sporontone002.jpg,Sporontone: 0.9413,Sporontone,1
Sporontone003.jpg,Sporontone: 0.7271,Sporontone,1
Sporontone004.jpg,Sporontone: 0.7193,Sporontone,1
